epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,353.067,0.75609,0.88201,1.15859,0.54049,0.70852,0.6191,0.47909,0.81152,0.96309,1.31179,0.000123256,0.000123256,0.000123256
2,691.151,0.77302,0.93703,1.17206,0.70813,0.56477,0.58828,0.44993,0.83627,0.97953,1.32837,0.000241707,0.000241707,0.000241707
3,1027.2,0.79252,0.98784,1.18149,0.65147,0.59533,0.58573,0.4455,0.83207,1.01282,1.32519,0.000355274,0.000355274,0.000355274
4,1363.22,0.80196,1.00908,1.18807,0.56416,0.593,0.57926,0.44565,0.83173,0.98676,1.313,0.000348022,0.000348022,0.000348022
5,1698.91,0.80778,0.9977,1.19013,0.58866,0.58366,0.59454,0.46077,0.82367,0.94134,1.31348,0.000340696,0.000340696,0.000340696
6,2034.33,0.7905,0.97772,1.18224,0.70714,0.56063,0.58126,0.44766,0.83365,0.9806,1.31327,0.00033337,0.00033337,0.00033337
7,2369.15,0.78141,0.9585,1.17329,0.50182,0.62304,0.57267,0.43657,0.83818,0.99161,1.32798,0.000326044,0.000326044,0.000326044
8,2703.46,0.77623,0.93498,1.17535,0.58875,0.61982,0.60468,0.46642,0.82623,0.94787,1.31131,0.000318718,0.000318718,0.000318718
9,3037.08,0.7708,0.91882,1.16734,0.60483,0.60127,0.58607,0.4527,0.83204,0.99196,1.32118,0.000311392,0.000311392,0.000311392
10,3370.85,0.76593,0.9028,1.16212,0.59769,0.55523,0.59087,0.45348,0.84526,0.96457,1.3296,0.000304066,0.000304066,0.000304066
11,3705.15,0.76161,0.89343,1.16341,0.6334,0.63749,0.59341,0.45783,0.81539,0.98417,1.31222,0.00029674,0.00029674,0.00029674
