epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,363.055,1.08935,2.69307,1.4669,0.48478,0.39634,0.34092,0.25454,0.89324,1.50526,1.40113,0.00333124,0.00333124,0.00333124
2,715.637,1.05065,1.9314,1.39162,0.60495,0.41231,0.34866,0.2507,0.96639,1.54626,1.47095,0.00659859,0.00659859,0.00659859
3,1063.78,1.14129,1.99593,1.45353,0.56749,0.39606,0.33823,0.2422,0.99846,1.60779,1.5052,0.00979995,0.00979995,0.00979995
4,1411.61,1.18137,2.04317,1.48253,0.40161,0.45892,0.34551,0.24751,1.00054,1.48581,1.4945,0.009703,0.009703,0.009703
5,1759.33,1.14839,1.90937,1.44765,0.49225,0.42927,0.38876,0.28307,0.95851,1.41876,1.4613,0.009604,0.009604,0.009604
6,2106.81,1.09701,1.80712,1.40839,0.44235,0.45902,0.4052,0.29707,0.939,1.34577,1.4302,0.009505,0.009505,0.009505
7,2454.43,1.06307,1.71804,1.37726,0.5424,0.53173,0.44856,0.33794,0.89742,1.26594,1.39078,0.009406,0.009406,0.009406
8,2801.99,1.04102,1.67016,1.36217,0.53376,0.49444,0.477,0.35629,0.90556,1.20597,1.39056,0.009307,0.009307,0.009307
9,3148.86,1.02979,1.62384,1.35058,0.50006,0.55862,0.50284,0.37893,0.87874,1.12069,1.3658,0.009208,0.009208,0.009208
10,3496.69,1.01045,1.57679,1.33319,0.55622,0.56439,0.49627,0.3775,0.88236,1.12384,1.36291,0.009109,0.009109,0.009109
11,3844.27,0.99955,1.54417,1.33177,0.561,0.60092,0.5297,0.39661,0.86896,1.06805,1.3575,0.00901,0.00901,0.00901
12,4191.76,0.9843,1.49013,1.31712,0.67418,0.48491,0.56886,0.40269,0.85806,1.10167,1.33632,0.008911,0.008911,0.008911
13,4539.28,0.96761,1.47141,1.30565,0.61592,0.54762,0.53968,0.40097,0.85071,1.0783,1.33256,0.008812,0.008812,0.008812
14,4886.7,0.95421,1.43656,1.29177,0.61933,0.56894,0.601,0.42951,0.86817,1.00093,1.35292,0.008713,0.008713,0.008713
